paper_id,summary
SP:b19df5243359791fbaad005d6f13d7e9fdb0ff63,"This paper proposes a new learning framework for multi - agent learning in the context of multi - task learning. The proposed framework is based on the MARL framework. The main contribution of the paper is the introduction of a new benchmark for the learning hierarchy, which is an extension of MARL benchmark. The paper also provides a theoretical justification for the proposed framework."
SP:7deb61890d97422a0fe141ca807f968c70ab239a,"This paper studies the convergence of the SGD method for solving nonsmooth and strongly - convex machine learning problems. In particular, the authors prove a lower bound of $ \Omega(\sqrt{T})$ on the convergence rate of SGD under the assumption that the objective function is strongly convex. The authors also provide some numerical experiments to verify the theoretical results."
SP:c7e0b3fedc0d0409d662dd612b529fdacad2b03e,"This paper proposes a new framework for training neural networks for machine translation. The main idea is to use a transformer layer as a reservoir layer, where the transformer layer is split into two parts, one for translation and the other for generalization. The authors show that the proposed framework can be used to train networks with better generalization / efficiency trade - offs than baselines."
SP:ba9f1d4738ec67a440346f3ac6c4cf35f7232077,"This paper studies the problem of learning a convolutional kernel function that is invariant to transformations of data. In particular, the authors show that the kernel function can be transformed into a kernel function invariant under transformations of the data. This kernel function is then used to define convolution operators that can be used to represent data in the space of convolution kernels."
SP:c1116fbb4d058eb6be195b5d13d19a55ba86b602,"This paper proposes a neural synthesis approach to solve the problem of multi - modal program synthesis. The main idea is to use a recurrent neural network to generate a set of examples for each input - output examples, which are then fed to a neural network that generates a program. The neural network is trained to predict the output of the generated programs, which is then fed into a search space. The authors show that their approach is able to find the optimal solution to the problem."
SP:55e02d79146bbb42f1ab6d4fafa2db5ddbe599b0,"This paper proposes a new model for the classification of proteins. The model is based on the graph convolutional neural network ( PGCN ), which is a graph - based molecular interaction graph. The authors show that the model is able to classify proteins according to their specificity and energetic features."
SP:7727eeb7b17ad94ddfa0cf24e64a9626d83a8876,"This paper studies the problem of double Q - learning, i.e., given a sequence of Q - values $ \ell_i$, the goal is to find a Q - value $ \alpha$ such that $ \sum_{i\in \mathbb{R}^{n\times n}$, where $ n \times n$ is the number of data points in the sequence $ n$, and $ \mathbf{n}$ is a Bellman operator. In this paper, the authors propose two algorithms for this problem. The first algorithm is based on the standard Bellman algorithm, while the second algorithm is inspired by the recent work [ 1 ]."
SP:1d630b69f95392a5ef3d7d580b523e077a3555a8,This paper proposes a new method for training a generative model that is able to generate high - resolution images in a low - cost manner. The proposed method is based on a wavelet - based down - sampling method. The authors show that the proposed method can achieve state - of - the - art results in terms of image quality and cost.
SP:b943a73b1ec34867371325748dc3a91ff4011947,"This paper proposes a new framework for self - supervised learning ( SSL ). In particular, the authors introduce a new embedding network, a new loss function, and a new batch of data to train the embedding networks. The authors show that the proposed framework is able to achieve state - of - the - art performance on several benchmark datasets."
SP:bd552f98e6a447cefa6b1a9bbdf40bc6539fb643,"This paper studies the problem of learning neural networks in a multi - teacher / student setting. In particular, the authors consider the case where there are two teachers and two students, and the goal is to learn a neural network that is both teacher - free and student - free.    The main contribution of this paper is to show that the two - layer teacher - student neural networks can be approximated by two functions, one for teacher - teacher and one for student - teacher networks."
SP:0f62846913ec10b44ed32845770da0565479dc75,"This paper presents a deep neural network architecture for the problem of visual relationship detection. The main idea is to learn a representation of the relationship between two images, and then use this representation to learn the relation between the two images. The authors show that the learned representation can be used to solve the MNIST classification task."
SP:2f19259d65fab904c1b771244da3dcb2f8aa0c26,"This paper proposes a new method to solve the problem of learning a network to solve a classification task. The main idea is to use residual neural networks ( ResNets ) to compute the gradient of the classification task, which is then combined with a regularization term to improve the performance of the network. The authors show that the proposed method is able to achieve state - of - the - art results on the CIFAR-10 and ImageNet datasets."
SP:6c14506b8b2b06043409d912e6bf877651aaa665,"This paper provides a theoretical analysis of the generalization gap between different neural networks in the context of cross - norm and cross - normalization techniques. The main idea of the paper is to show that the gap between two neural networks can be decomposed into two parts : ( 1 ) the data is independent and identically distributed, and ( 2 ) the distribution of the data in the two networks is different. The paper also shows that the variance of the distribution is independent of the dimensionality of the networks."
SP:2774abdc11917321dd4994af0f0da1ff824bea03,This paper proposes a novel architecture architecture for deep neural network architectures for RL. The architecture is based on the idea that the agent should be able to extract relevant information about the environment from the input data. The authors show that the proposed architecture is able to achieve state - of - the - art performance on the DeepMind Control benchmarks.
SP:31a7051d08d19c01e11f1fac2f3041ed2fa28f15,"This paper proposes a new approach to improve the convergence of the Rotogradrad - based gradient - based learning algorithm. The main idea is to share the network parameters between the two networks. The authors show that by doing so, they can improve the performance of the proposed algorithm. Experiments are provided to support the theoretical results."
SP:ac9ebd027b92527d9a87b13ad11d002d99a2b0f6,"This paper proposes a new method for image - to - image translation. The main idea is to use the geometric distortion constraint ( MGC ), which is a constraint on the geometric structure of images, as a constraint for the translation of images. The authors show that the proposed method can be used to improve the quality of the translation."
SP:92a38d7d18f07f68b8f93c61180e2cc1dddd21de,This paper proposes a new discriminator for point cloud GANs. The proposed discriminator is based on the sampling - aware baseline of the baseline generator. The authors show that the proposed discriminators are more sensitive to the sampling pattern than existing ones. The paper also provides a theoretical analysis of the impact of sampling pattern on the discriminator.
SP:16c4be3eb162bc81cb3343c2fc115eb8e926a5b5,"This paper proposes a method for improving the robustness of Capsule Networks against adversarial attacks. The proposed method is based on the observation that adversarial examples can be transformed into capsules, which can then be used to improve the accuracy of the capsule detection. The authors show that the proposed method can improve the performance of CapsNets in terms of robustness to vote - attack."
