paper_id,summary
SP:b19df5243359791fbaad005d6f13d7e9fdb0ff63,This paper proposes a hierarchical learning framework for role - based multi - agent multi - task decomposition. The key idea is to first decompose joint action spaces into restricted role action spaces by clustering actions according to their effects on the environment and other agents. The proposed method is evaluated on the StarCraft II micromanagement benchmark. The paper shows that the proposed method outperforms the current state - of - the - art MARL algorithms on 9 out of the 14 scenarios that comprise the challenging StarCraft II benchmark and achieves rapid transfer to new environments.
SP:7deb61890d97422a0fe141ca807f968c70ab239a,"This paper studies the behavior of the stochastic subgradient descent ( SSGD ) method applied to overparameterized nonsmooth optimization problems that satisfy an interpolation condition. By leveraging the composite structure of the empirical risk minimization problems, the authors prove that SSGD converges, respectively, with rates O(1/ ) and O(log(1 / ) ) for convex and strongly - convex objectives when interpolation holds. These rates coincide with established rates for SGD methods applied to smooth problems. The analysis provides a partial explanation for the empirical observation that sometimes SGD and SSGD behave similarly for training smooth and nonsmoot machine learning models."
SP:c7e0b3fedc0d0409d662dd612b529fdacad2b03e,"This paper proposes to use non - linear "" reservoir "" layers to improve the performance of transformer - based neural networks. In particular, the authors introduce a new metric AUCC to measure the performance - efficiency trade - off between transformer and reservoir layers. The authors also propose to skip the backward pass by approximating top - layer gradients using an approach they call backskipping, with a relatively small sacrifice in performance. Experimental results show that the proposed method outperforms the state - of - the - art transformer architectures without updating all the layers."
SP:ba9f1d4738ec67a440346f3ac6c4cf35f7232077,"This paper studies the connection between the recent steerable CNN structure based on group representation theory and the conventional transformed filters. To this end, the authors propose a new approach ( FILTRA ) to use filter transform to establish steerability between features in different group representation in cyclic group CN and dihedral group DN. The authors show that filter transformed kernels can be used to convolve input / output features in the different group representations and provide a novel and simple approach to implement steerable convolution operators. Experiments are executed on multiple datasets to verify the feasibility of the proposed approach."
SP:c1116fbb4d058eb6be195b5d13d19a55ba86b602,"This paper proposes an optimal neural synthesis approach for multi - modal program synthesis, where the goal is to find a program that satisfies user - provided constraints while maximizing the program ’s score with respect to a neural model. Specifically, they focus on multimodal synthesis tasks in which the user intent is expressed using combination of natural language ( NL ) and input - output examples. At the core of their method is a top - down recurrent neural model that places distributions over abstract syntax trees conditioned on the NL input. This model not only allows for efficient search over the space of syntactically valid programs, but it also allows us to leverage automated program analysis techniques for pruning the search space based on infeasibility of partial programs. The experimental results on the STRUCTUREDREGEX dataset show that their method substantially outperforms prior state - of - the - art techniques in terms of accuracy and explores fewer states during search."
SP:55e02d79146bbb42f1ab6d4fafa2db5ddbe599b0,This paper presents a protein graph convolutional neural network ( PGCN ) that uses Rosetta energy function to predict the topology and energetic features of the interaction between protease and substrate in order to determine the substrate specificity landscape of a protease enzyme. The proposed method is applied to the prediction of the specificity of the NS3/4 protease from Hepatitic C virus. The method is based on the structure - based molecular interaction graph generated by Rosetta and the energy function. The authors compare the performance of the proposed method with other machine learning models and show that its performance in classification tasks is equivalent or better than the other methods.
SP:7727eeb7b17ad94ddfa0cf24e64a9626d83a8876,"This paper focuses on the underestimation bias in double Q - learning. The authors show that under the perturbation of approximation error, double - Q learning may have multiple non - optimal fixed points. To address this issue, the authors propose a doubly - bounded estimator that utilizes an abstracted dynamic programming as a lower bound estimation to rule out the potential non - optimal fixed points in the model. The experiments show that the proposed method has shown great promise in improving both sample efficiency and convergence performance."
SP:1d630b69f95392a5ef3d7d580b523e077a3555a8,"This paper proposes a novel two - step training framework for deep generative models ( DGMs ) of high - dimensional natural images. First, it generates images in low - frequency bands by training a sampler in the wavelet domain. Then, it super - resolves these images from the wavelets back to the pixel - space with a novel wavelet super - resolution decoder network. Since the sampler and decoder can be trained in parallel and operate on much lower dimensional spaces than end - to - end models, the training cost is substantially reduced. On ImageNet 512x512, the proposed model achieves a Fréchet Inception Distance ( FID ) of 10.59 – beating the baseline BigGAN model – at half the compute ( 256 TPU - v3 cores ). Surprisingly, it is even able to outperform BigGAN in image quality at 512×512 resolution."
SP:b943a73b1ec34867371325748dc3a91ff4011947,"This paper provides a theoretical analysis of self - supervised learning ( SSL ) for few - shot learning ( FSL ). In particular, the paper analyzes the difference between SSL and supervised training for FSL. The paper shows that SSL can achieve comparable performance to supervised training under two assumptions : 1 ) a pre - trained embedding network with self - supervision and 2 ) the number of new classes available for training. The authors also provide a bound for the gap between the self - supervised loss and the supervised loss on FSL, and propose two ways to improve the test accuracy under SSL."
SP:bd552f98e6a447cefa6b1a9bbdf40bc6539fb643,"This paper studies the convergence properties of two - layer teacher - student neural networks. The authors show that the student neurons align with one of the teacher neurons at the local minima. They also show that under the most basic settings, all student neurons must align with the teacher neuron at any local maxima. Then, they extend the analysis to more general cases, where the proof can be reduced to analyzing the properties of a special class of functions that we call angular distance ( AD ) function. Finally, they demonstrate that these properties can be easily verified numerically."
