paper_id,summary
SP:b19df5243359791fbaad005d6f13d7e9fdb0ff63,"This paper proposes to decompose joint action spaces into restricted role action spaces by clustering actions according to their effects on the environment and other agents. The proposed method ( RODE ) learns a role selector based on action effects and a role policy based on actions. The role selector searches in a smaller role space and at a lower temporal resolution, while the role policies learn in significantly reduced primitive action - observation spaces. The authors further integrate information about action effects into the role policy to boost learning efficiency and policy generalization. RODE outperforms the current state - of - the - art MARL algorithms on 9 out of the 14 scenarios that comprise the challenging StarCraft II micromanagement scenarios."
SP:7deb61890d97422a0fe141ca807f968c70ab239a,"This paper studies the behaviour of the stochastic subgradient descent ( SSGD ) method applied to over - parameterized nonsmooth optimization problems that satisfy an interpolation condition. By leveraging the composite structure of the empirical risk minimization problems, the authors prove that SSGD converges, respectively, with rates O(1 / ) and O(log(1/ ) for convex and strongly - convex objectives when interpolation holds. These rates coincide with established rates for the SGD method, which also satisfies an interpolated condition. The authors provide a partial explanation for the empirical observation that sometimes SGD and SSGD behave similarly for training smooth and nons mooth machine learning models."
SP:c7e0b3fedc0d0409d662dd612b529fdacad2b03e,"This paper presents a novel approach to non - linear training of transformer layers in machine translation and language modelling tasks. The authors propose to replace regular transformer layers with a series of reservoir layers that are randomly initialized and never updated. They also propose to skip the backward pass by approximating top - layer gradients using an approach they call backskipping, with a relatively small sacrifice in performance. Experiments are conducted on a variety of machine translation tasks, including machine translation, language modelling, and machine translation."
SP:ba9f1d4738ec67a440346f3ac6c4cf35f7232077,This paper proposes a new approach to steerable CNN based on filter transform and group representation theory. The authors show that the kernel constructed by filter transform can also be interpreted in the group representations theory. They also show that filter transformed kernels can be used to convolve input and output features in different group representation. They then propose a new method ( FILTRA ) to use filter transform to establish steerability between features in group representation in cyclic group CN and dihedral group DN. Experiments are performed on multiple datasets to verify the feasibility of the proposed approach.
SP:c1116fbb4d058eb6be195b5d13d19a55ba86b602,"This paper proposes an optimal neural synthesis approach where the goal is to find a program that satisfies user - provided constraints while maximizing the program ’s score with respect to a neural model. Specifically, they focus on multimodal synthesis tasks in which the user intent is expressed using combination of natural language ( NL ) and input - output examples. At the core of their method is a top - down recurrent neural model that places distributions over abstract syntax trees conditioned on the NL input. This model not only allows for efficient search over the space of syntactically valid programs, but it allows us to leverage automated program analysis techniques for pruning the search space based on infeasibility of partial programs with partial user's constraints. The experimental results show that their method substantially outperforms prior state - of - the - art techniques in terms of accuracy and explores fewer states during search."
SP:55e02d79146bbb42f1ab6d4fafa2db5ddbe599b0,"This paper proposes a protein convolutional neural network ( PGCN ) based on a structure - based molecular interaction graph generated using the Rosetta energy function that describes the topology and energetic features, to determine the substrate specificity of a protease enzyme. The proposed method is able to predict the specificity of protease enzymes with better accuracy than existing methods. The paper also proposes a novel method to design novel enzymes with tailored specificity against disease targets. The method is evaluated on a variety of datasets and compared with a number of baselines."
SP:7727eeb7b17ad94ddfa0cf24e64a9626d83a8876,This paper proposes a novel value estimator for double Q - learning based on the Bellman operation to reduce the underestimation bias in double - q - learning. The proposed method is based on an approximate dynamic programming approach to estimate the bound of the target value. The method is evaluated on a variety of Atari benchmark tasks and shows significant improvement over baseline algorithms.  
SP:1d630b69f95392a5ef3d7d580b523e077a3555a8,"This paper proposes a two - step training framework for deep generative models ( DGMs ) of high - dimensional natural images. First, a sampler is trained to generate images in low - frequency bands by training a decoder in the wavelet domain. Then, a wavelet - based down - resolution decoder network is trained in the decoder domain. The authors show that the proposed method is more efficient than pixel - based methods, leading to significantly better generative quality of the low - resolution sampler."
SP:b943a73b1ec34867371325748dc3a91ff4011947,"This paper presents a theoretical analysis of self - supervised learning ( SSL ) for fewshot learning ( FSL ), which aims at distilling transferable knowledge on existing classes with large - scale labeled data to cope with novel classes for which only a few labeled data are available. The authors show that a pre - trained embedding network with SSL can provide representation for downstream FSL tasks in theory. They further analyze the main difference between supervised training and self - supervised training on FSL and obtained the bound for the gap between self -supervised loss and supervised loss. They show that under the two assumptions, one can get a test performance close to supervised training."
SP:bd552f98e6a447cefa6b1a9bbdf40bc6539fb643,"This paper studies the convergence property of neural networks with global minima near the initialization under first order methods. In particular, the authors show that the input weights of student neurons eventually align with one of the teacher neurons in a two - layer teacher - student network. They show that this convergence property is distinct from convergence property for networks with finite width. The authors also show that under the most basic settings, all student neurons must align with the teacher neuron at any local minima. The proof is extendable to more general cases, where the proof can be reduced to analyzing the properties of a special class of functions that are called Angular Distance ( AD ) function. Finally, they demonstrate that these properties can be easily verified numerically."
